Domain1	Domain2	Source
PF08204	PF08204	iPfam
PF09063	PF09063	iPfam
PF03466	PF03466	iPfam
PF14464	PF14464	iPfam
PF04038	PF04038	iPfam
PF14670	PF14670	iPfam
PF00542	PF00542	iPfam
PF00148	PF00148	iPfam
PF09336	PF09336	iPfam
PF05368	PF05368	iPfam
PF11533	PF11533	iPfam
PF00729	PF00729	iPfam
PF12833	PF12833	iPfam
PF09817	PF09817	iPfam
PF08770	PF08770	iPfam
PF05224	PF05224	iPfam
PF11260	PF11260	iPfam
PF09130	PF09130	iPfam
PF07472	PF07472	iPfam
PF08804	PF08804	iPfam
PF01168	PF01168	iPfam
PF11545	PF11545	iPfam
PF09897	PF09897	iPfam
PF02938	PF02938	iPfam
PF02181	PF02181	iPfam
PF02017	PF02017	iPfam
PF11606	PF11606	iPfam
PF01829	PF01829	iPfam
PF00311	PF00311	iPfam
PF00351	PF00351	iPfam
PF01210	PF01210	iPfam
PF02792	PF02792	iPfam
PF00732	PF00732	iPfam
PF01220	PF01220	iPfam
PF02833	PF02833	iPfam
PF00714	PF00714	iPfam
PF03860	PF03860	iPfam
PF01557	PF01557	iPfam
PF07880	PF07880	iPfam
PF12889	PF12889	iPfam
PF06470	PF06470	iPfam
PF12931	PF12931	iPfam
PF03658	PF03658	iPfam
PF05247	PF05247	iPfam
PF02565	PF02565	iPfam
PF04940	PF04940	iPfam
PF00326	PF00326	iPfam
PF05551	PF05551	iPfam
PF00791	PF00791	iPfam
PF11539	PF11539	iPfam
PF02729	PF02729	iPfam
PF00295	PF00295	iPfam
PF11520	PF11520	iPfam
PF07654	PF07654	iPfam
PF00358	PF00358	iPfam
PF09114	PF09114	iPfam
PF07563	PF07563	iPfam
PF10515	PF10515	iPfam
PF07582	PF07582	iPfam
PF00775	PF00775	iPfam
PF01875	PF01875	iPfam
PF00009	PF00009	iPfam
PF01575	PF01575	iPfam
PF02499	PF02499	iPfam
PF02213	PF02213	iPfam
PF07809	PF07809	iPfam
PF13458	PF13458	iPfam
PF06428	PF06428	iPfam
PF04371	PF04371	iPfam
PF01833	PF01833	iPfam
PF01924	PF01924	iPfam
PF15518	PF15518	iPfam
PF06506	PF06506	iPfam
PF14794	PF14794	iPfam
PF08534	PF08534	iPfam
PF04335	PF04335	iPfam
PF13621	PF13621	iPfam
PF09156	PF09156	iPfam
PF00983	PF00983	iPfam
PF00566	PF00566	iPfam
PF03520	PF03520	iPfam
PF07840	PF07840	iPfam
PF10369	PF10369	iPfam
PF09109	PF09109	iPfam
PF05164	PF05164	iPfam
PF01966	PF01966	iPfam
PF12946	PF12946	iPfam
PF10502	PF10502	iPfam
PF01029	PF01029	iPfam
PF01719	PF01719	iPfam
PF11999	PF11999	iPfam
PF11602	PF11602	iPfam
PF02854	PF02854	iPfam
PF02301	PF02301	iPfam
PF06453	PF06453	iPfam
PF03398	PF03398	iPfam
PF02038	PF02038	iPfam
PF04200	PF04200	iPfam
PF08603	PF08603	iPfam
PF00473	PF00473	iPfam
PF00060	PF00060	iPfam
PF04828	PF04828	iPfam
PF07719	PF07719	iPfam
PF02929	PF02929	iPfam
PF04008	PF04008	iPfam
PF14254	PF14254	iPfam
PF09625	PF09625	iPfam
PF06421	PF06421	iPfam
PF10608	PF10608	iPfam
PF05932	PF05932	iPfam
PF01371	PF01371	iPfam
PF01905	PF01905	iPfam
PF00401	PF00401	iPfam
PF03143	PF03143	iPfam
PF02887	PF02887	iPfam
PF12892	PF12892	iPfam
PF04354	PF04354	iPfam
PF03456	PF03456	iPfam
PF06227	PF06227	iPfam
PF04327	PF04327	iPfam
PF07997	PF07997	iPfam
PF00281	PF00281	iPfam
PF02064	PF02064	iPfam
PF03544	PF03544	iPfam
PF08031	PF08031	iPfam
